Date,day,type,am,pm,total,hours worked
6/22/2015,Monday,pdr,0,100,,7
6/23/2015,Tuesday,pdr,,160,,7
6/24/2015,Wednesday,off,,,,
6/25/2015,Thursday,,,,,
6/26/2015,Friday,,,,,
6/27/2015,Saturday,,,,,
6/28/2015,Sunday,,,,,
6/29/2015,Monday,,,,,
6/30/2015,Tuesday,,,,,
7/1/2015,Wednesday,,,,,
7/2/2015,Thursday,,,,,
7/3/2015,Friday,,,,,
7/4/2015,Saturday,,,,,
7/5/2015,Sunday,,,,,
7/6/2015,Monday,,,,,
7/7/2015,Tuesday,,,,,
7/8/2015,Wednesday,,,,,
7/9/2015,Thursday,,,,,
7/10/2015,Friday,,,,,
7/11/2015,Saturday,,,,,
7/12/2015,Sunday,,,,,
7/13/2015,Monday,,,,,
7/14/2015,Tuesday,,,,,
7/15/2015,Wednesday,,,,,
7/16/2015,Thursday,,,,,
